,총무과,자치행정과,홍보과,교육지원과,문화체육과,민원여권과,기획예산과,일자리경제과,스마트정보과,재무과,징수과,재산세과,지방소득세과,복지정책과,어르신복지과,자립지원과,가족정책과,보육정책과,녹색환경과,건설관리과,공원녹지과,청소행정과,주택과,도시계획과,재건축사업과,건축과,부동산정보과,안전재난과,도로과,치수과,교통행정과,주차관리과,보건행정과,보건위생과,지역보건과,의약과,보건지소
10,부구청장실 비서 업무,"동청사 개.보수 총괄(목동, 신정동)",구보 발행,교육박람회 백서 발간,뉴딜일자리사업(문화재단) 관련 업무,가족관계증명 발급업무 총괄,"구청장,부구청장 당부사항 관리",예산회계 집행 및 편성？결산에 관한 사항,스마트도시 리빙랩 운영,물품관리,"체납 담당동 : 목3동, 신월3동",재산세 정기분 총괄,"지방소득세 부과 징수(목4동,신월3동)",사회복지의 날 기념행사,어버이날 행사,장애인복지기금,"성희롱,성폭력,성매매,가정폭력 등 6대 폭력예방사업","주요업무보고 및 회의자료, 구의회",석면안전관리 및 지도점검,국공유재산 용도폐지,도시계획시설 보상(온수공원),무단투기과태료 세외수입 총괄,저소득층 공공임대주택 공급 지원(정기/수시),지구단위계획 총괄 및 지원,의원 요구자료 총괄,도로대장 관리 및 위반건축물 대장 총괄,부동산중개업 지도점검(신월동),"한파, 폭염, 가뭄대책 추진",공사설계 및 감독업무 수행,하수도 유수장애시설 관리,"여객자동차(개인택시,일반택시,마을버스,전세버스)인허가 등 관련업무","직원복무관리, 봉급, 수당","청사 청소용역, 의료폐기물 용역 관리",모범음식점 및 위생등급,다둥이맘 산후회복지원사업,의료업소 행정처분,대사증후군관리사업 운동상담
11,차량지원실관리등,폭염대책,구정행사 사진 촬영,교육경비 보조금 지원(프로그램),"예산편성, 지출결산, 일상경비 회계처리 업무",어디서나 민원업무 총괄(대학민원 수수료 관리),"일반연설문(종무식,시무식), 명절인사말 작성",구의회 및 선거 관련 사항,스마트도시 정책 자문위원회 운영관리,"문화체육과, 민원여권과, 건축과, 도시계획과, 주택과",교부청구,취득세 및 재산세 담당동(목2동),지방소득세 비OCR고지서 수기입력,행복e음 총괄,기초연금 총괄,자립생활지원센터,"가정,성폭력상담소 등 관리 운영(피해자 의료비 등)",아동수당 지급,석면피해 구제급여,보상에 관한 업무 총괄,"구 소유 근린공원 정비 및 유지관리(파리, 신트리, 오목, 목마, 오솔길, 달마을, 목동)",대형폐기물 처리,"문서 배부, 우편물 관련 업무",목동택지개발사업 지구단위계획,각종 통계업무 총괄,집합건축물 관련 업무 지원,"모범, 글로벌, 모니터링 중개업소 관리","어린이이용시설 종사자 안전교육, 학교주변 및 어린이놀이시설 등 안전관리",팀 예산편성 및 의회업무,"신월1,3,5,7동 민원처리",택시유가보조금 관련 업무,"시설관리공단 관련(예산, 세외수입)","보건소 당직 운영, 사회복무요원 관리","목2,3,4,5동 민원처리 및 시설조사","고위험임산부, 난임부부, 한방난임, 청소년산모 지원",재난업무에 관한 사항,신월보건지소 운동프로그램 관리
12,차량지원실,통반 및 행정구역 조정 관리,구정홍보사진 인화 및 홍보판 관리,"장학기금 운용, 서울희망장학금","충무계획, 세외수입, 물품, 차량관리",무인민원발급기 관리,미래양천포럼 운영,주요업무계획 및 각종 회의자료에 관한 사항,로봇활용 사회적 약자 편익 지원사업,"어르신복지과, 자립지원과, 청소행정과, 교통행정과 소관 계약 업무",지난년도 체납 총괄,종합부동산세 자료관리,지방소득세 신고서 접수,직원 후생복리 및 수당 지급,"저소득 어르신 급식지원 사업(경로식당, 도시락배달, 밑반찬배달) 관리 및 지도점검",장애청소년상해보험,"여성폭력방지위원회, 1인가구 안심지원사업",첫만남이용권 지급,어린이 활동공간 위해성 관리,건설기계 민원처리,도시자연공원 구역 사유지 협의 매수,"반입불가폐기물(폐합성수지, 폐목재 등) 처리","복무,보안,물품,인력(공익, 공공 등) 관리",신투리 택지개발지구 지구단위계획,목동아파트 재건축 정비계획 총괄,건축인허가(신월4동),부동산중개업 개설(신월동),"찾아가는 안전교육, 국민안전교육, 의용소방대 지원 및 관리",도로시설물 및 부속시설물 유지관리 총괄,"구의회,예산,회계, 부서물품관리, 홈페이지 및 문서관리","여객자동차 차고지 관련업무,물류창고업, 화물터미널 관련업무",공영주차장 운영 민원처리(신정동),"전자문서 접수 및 배부 , 직원표창 및 상훈관리",예산 및 회계,모성실 운영,의료인 성범죄 및 아동학대 관련 점검 및 관리,신월보건지소 대사증후군관리 사업
13,"행정지원국장실, 기획재정국장실,주민복지국장실 비서",통반장 관리 및 통장자녀 장학금,포토뉴스,"학교폭력 예방사업, 학생안전 관련업무","직원봉급 및 각종수당, 직원복무관리",통합민원,구정백서,부서 직원 인사에 관한 사항,키오스크 설치 및 운영관리,"계약심의위원회 운영, 주민참여감독제 운영","부동산압류, 출국금지","취득세 및 재산세 담당동(신월2,3동)","지방소득세 부과 징수(목1동,신월5동)",소관시설 사회복무요원 및 동행일자리 관리,"매장, 화장, 신고자료 관리(수급자 관리용)","발달재활서비스, 언어발달지원, 부모심리상담서비스, 장애아가족양육지원","여성안심사업(안심귀가,택배함,지킴이집,귀갓길)","서울시 임산부 교통비 지원, 다둥이 행복카드",환경개선부담금 체납 관리,전문건설업 등록사항 업무,산업안전보건법관련 계획수립 및 관리,무단투기 CCTV 및 로고젝터 설치 관리,"봉급,수당,연말정산 관리 / 기타 타 직원에 속하지 않는 업무","신정2,3 택지개발지구 지구단위계획",목동아파트 재건축사업 추진(목동 1~7단지),세움터 관리,개업 및 소속 공인중개사 연수교육,"안전취약가구 복지서비스, 재난안전예산, 문서접수","제설대책 업무담당(제설제,제설자재,장비)",하수악취개선관련 업무,자동차 대여사업 인 허가 등 관련 업무,시설관리공단 위수탁 관련업무(신정동),민원실 예산 및 주요업무 계획,식품진흥기금 관리,남녀 임신준비 지원사업,의료기기 판매업 민원처리,신월보건지소 민원상담및 접수대직
14,"직원후생관 식단,영양,위생관리",동 물품 및 장비지원,포토갤러리 운영,교육관련 자료 현행화,"민간 문화예술단체 및 예술인 지원, 관리",자원봉사관리,"국회의원,시의원 요구자료 관리","일자리창출 공모사업 총괄(서울시, 고용노동부)",중소도시 스마트시티 조성사업(자전거 지킴이),"기획예산과, 일자리경제과, 공원녹지과","체납 담당동 : 목5동, 신월1동","재산세 감액,수시분 총괄","지방소득세 부과 징수(신정2,3동)",코로나19 생활지원비 지급(신월동),"효도수당 지급, 노인성인용 보행기 지원, 무의탁노인 전세주택 지원",장애인등록 및 복지카드,불법촬영 걱정없는 안심화장실,국공립어린이집 리모델링 및 기능보강,환경신문고 및 환경오염신고 포상금제,전문건설업 행정처분,중대재해처벌 등에 관한법률 관련업무,종량제봉투 제작 관리,"임대사업자 등록,변경,양도,말소,과태료부과(신정동) 온라인 계약신고(목동)",신정재정비촉진계획(변경) 존치관리 1~5구역 지구단위계획,"도정법 관련 조례규칙 개정, 법령 질의 회신 등","건축인허가(목2,3동, 신정7동)",부동산중개업종사자 등록사항 일제정비,"안전체험교육 프로그램 개발, 운영총괄",도로시설물 유지보수 민원담당(목동),하수기동반 및 공공근로자 운영,"수당 지급, 충무계획(을지연습)",거주자우선주차장 조성 및 관리(신정동),안심일자리 및 자원봉사자 관리,어린이놀이시설 관련업무,산모신생아 건강관리 지원사업,혈액 관련 업무,신월보건지소 물리치료사
15,직원후생관 운영,동행정차량 관리,『양천구소식』 발행 및 총괄,학교급식 지원 사업(김치공급 업체 선정 등),"구 대표축제, 동 마을축제 지원사업","증명서 공용발급(금융정보분석원,구청)",월중 주요업무 및 행사게획,중장년 취업연계 직업교육 프로그램 운영,디지털 트윈,"녹색환경과, 가족정책과, 보건소 소관 계약 업무",임대인 미납지방세 열람 총괄,공약관련 전산업무 총괄,지방소득세(법인) 총괄,"재해구호(재해물품 및 창고, 이재민시설관리)",센터업무총괄(예산포함),장애인 특별공급 및 장애인 전세주택 지원,아이돌봄지원사업,국공립어린이집 내 특수보육시설 설치,지정폐기물 배출업소 신고처리 및 지도점검,건설기계 과태료,공원팀 기간제근로자 등 복무관리 및 채용,종량제봉투 판매소 지정 및 지도 감독,임대사업자 등록관리 업무(신월동),국회대로 지구단위계획,분양가심사위원회 구성 및 운영,상설교차점점 총괄,부동산중개업 지도점검(신정동),"안전체험교육관 시설물 관리 및 체험관 운영보고, 홍보 및 상담지원 총괄",도로시설물 유지관리 업무(보조),공공측량 및 데이터베이스 구축 관련,"문서접수, 기록물관리, 공익관리, 물품관리",공유주차(총괄 및 신정동),유기한 민원 접수 및 수납,"신정2,6동 민원처리 및 시설조사",모유수유 권장사업,휴일 야간 진료업소 관리 업무,허약노인 운동프로그램 운영
16,주차정산소 관리,주민등록업무 총괄,『양천구소식』 명예기자 및 편집위원회 운영,시기별 맞춤형 진학설명회 개최,구립실버합창단 운영관리,기록관리 기본계획 수립 및 운영,사무전결 처리규칙,양천구 생활임금제 운영(위원회 등),스마트마루 설치,"치수과,감사담당관,자치행정과,재무과,홍보과,스마트정보과,징수과,재산세과,지방소득세과,교육지원과,건설관리과 소관 계약업무","포상금, 급여압류",시세 과징계획 수립,세무종합 전산총괄,충무계획(행정안전실시계획 부록#8 전시전재민구호계획,프로그램 기획？운영 및 시설 인력 관리,"장애인 보조기기교부 및 전동보장구 보험가입, 장애인 시청각 TV, 장애인의료비 지원",결혼중개업 관리,"국공립어린이집 안전(화재, 석면, 태양광, 놀이시설 등) 업무",저수조 청소업체 관리,도로관리 점용허가 및 점용료 부과 징수(신정동),공원팀 공공요금 납부 등,"폐기물 수수료 정산 및 세외수입(일반,음식물,납부필증 통합)","임대사업자 등록,변경,양도,말소,과태료 등",신정네거리 지구단위계획,재건축 및 민영주택건설(신정동),"건축인허가(목4동,신정2동)",부동산중개업 개설(신정동),"심폐소생술, 완강기, 연기피난, 소화기 등 체험강의 및 재난안전 교육총괄",제설대책 업무(보조),"신정1,3,4동 민원처리","광역교통시설부담금 부과, 관리",거주자 우선 주차장 조성 및 관리(목동),"인증기 관리, 진료비 청구","음식문화개선사업, 안심식당 지정운영",성인예방접종 전반에 관한 사항,구조 및 응급처리 교육관련 업무,"물리치료업무, 만성질환 자조모임 운영"
17,청사 CCTV유지관리,세입예산 및 충무계획,홍보대사 운영,대입정보 지원(1:1 집중 상담 등),"문화산업(PC,노래연습장), 출판, 관광 등 (신정동)",전산화 및 콘텐츠개발 사업,정책실명제,미니 일자리 잡다(JOB多) DAY 개최,정보화 기본계획 및 시행계획 수립,"실적증명, 하자보수 관리","체납 담당동 : 목2동, 신월2동, 신월4동",취득세 수시분 총괄,"지방소득세 부과 징수(신정1동, 신월7동)","코로나19 생활지원비 총괄 및 지급(목동,신정동)",프로그램 강사관리(강사료 등),장애인연금 및 장애수당 총괄,"양성평등정책, 양성평등주간행사",국공립어린이집 지도점검 총괄,국장실 비서,건설기계 등록(민원)업무 및 증명발급,공원팀 현장관리,무단투기 현장단속 및 계도,임대차계약신고(신월동 방문/온라인 접수),신월생활권중심 지구단위계획,"소규모재건축, 가로주택정비(신정동)",부설주차장 관리 총괄,저소득주민 무료중개서비스,"안전체험교육 프로그램 개발, 운영","도로시설물 유지보수 민원담당(신정동, 신월동)",하수도원인자부담금 업무 총괄,특별교통대책수립시행 및 교통관련 신규사업 발굴,부설주차장 야간개방 사업(목동),보건소 행정차량 운행 및 관리,식품자동판매기 지도점검,"예방접종 접수 및 안내, 예방접종 등록관련 업무","의원급 의료기관 인허가(신정동,신월동)",순환운동실 관리
18,종합상황실 운영지원,"세출예산(편성,집행) 총괄 관리",한글진흥 업무,"교육박람회(대입,고입) 운영",찾아가는 작은 연주회,민간기록 수집 및 전시기획,"열린구정,주간정책,산하기관장 회의자료",구인구직 일자리현장 발굴,신규 현안 전산(시스템) 관련 업무,조달업무(총액계약),공공기록정보 제공,취득세 감액 총괄,법인지방소득세 특별징수세액 정산 총괄,"무연고사망자, 의사상자",기타 양천구 어르신복지 관련 업무,"장애인 이룸통장, 장애인 자립자금 대여, 장애인가정 출산비 지원","성별영향평가업무, 양성평등기금 운용",국공립어린이집(목동),"환경개선부담금 부과,징수 관리",건설기계사업자 관리,공원여가 종합계획 수립,무단투기 단속,타 지자체 민원이송(정),목동오거리 지구단위계획구역 관리 및 운용,리모델링사업업무,가설건축물 총괄,토지거래계약 허가(목동신시가지아파트 1~6단지),"안전체험교육관 시설물 관리 및 체험관 운영보고, 홍보 및 상담지원",도로공사 설계 및 감독(목동서로8길 외 1개소 도로정비공사),"하수시설물 통계, 각종 대장관리 업무",교통유발부담금 부과 징수 업무 보조,공영주차장 운영 및 민원처리(목동),보건소 주차장 및 청사관리 지원,목1동 민원처리 및 시설조사,예방접종실 운영,의원급 의료기관 진정민원 처리에 관한 사항,목동보건지소 업무 총괄
19,구청사 방송장비 담당,주요업무 보고자료 및 각종 회의자료,꿈나무소식지 발행,구립도서관 및 북카페 운영,문화누리카드,"기록물관리(생산보고, 폐기, 실태점검)",구정기본현황,취업정보 안내 홈페이지 게시,"새올행정시스템, 행정포털시스템 기능고도화","총무과, 안전재난과, 복지정책과, 보육정책과, 도로과","체납고지서 발송, 체납전산(세무종합)","재산세 및 취득세 담당동(신정6동, 신월6동)","지방소득세 부과 징수(신정4동, 신월6동)",찾아가는 보건복지서비스(복지부) 및 동행센터 운영 관리,일상경비 회계업무,"장애인 바우처택시, 장애인 자동차 표지","여성정책평가(서울시,자치구 공동협력사업)","국공립어린이집 식자재 공동구매, 행사 주관, 양천형 밤샘긴급돌봄어린이집 운영",환경개선부담금 각종 현황 자료,불법 유동광고물 과태료 부과 업무,계절별 공원축제 및 주요 문화행사 기획,재활용폐기물 선별처리용역,임대사업자 등록관리 업무(목동),목동중심지구 지구단위계획구역 관리 및 운용(용역),"목동아파트 8단지,13단지,14단지",건축인허가(신월7동),부동산거래신고 및 과태료 부과징수 관리(목동),"심폐소생술, 완강기, 연기피난, 소화기 등 체험강의 및 재난안전 교육",도로(차도) 유지관리 업무(보조),"신정2,6,7동 민원처리",업무보고 및 회의자료 작성,거주자우선주차장 조성 및 관리(총괄),"서울시, 보건지소, 각 동 업무연락 등",식중독 관련 업무,코로나19예방접종 이상반응피해보상 접수 및 상담,의료유사업(안마) 업무 시행에 관한 사항,목동보건지소 예산 및 청사관리
